gene_symbol	ensembl_gene_id	uniprot_id	protein_class	is_secreted	signal_peptide	orf_length_bp
CENPW	ENSG00000203760	Q5EE01	unknown	False	False	264
CENPX	ENSG00000169689	A8MT69	unknown	False	False	243
CEP104	ENSG00000116198	O60308	cytoskeletal	False	False	2775
CEP112	ENSG00000154240	Q8N8E3	cytoskeletal	False	False	2865
CEP120	ENSG00000168944	Q8N960	cytoskeletal	False	False	2958
CEP126	ENSG00000110318	Q9P2H0	cytoskeletal	False	False	3351
CEP128	ENSG00000100629	Q6ZU80	cytoskeletal	False	False	3282
CEP131	ENSG00000141577	Q9UPN4	transport_protein	False	False	3249
CEP135	ENSG00000174799	Q66GS9	cytoskeletal	False	False	3420
CEP15	ENSG00000114405	Q9HBI5	unknown	False	False	384
CEP152	ENSG00000103995	O94986	cytoskeletal	False	False	5130
CEP162	ENSG00000135315	Q5TB80	cytoskeletal	False	False	4209
CEP164	ENSG00000110274	Q9UPV0	cytoskeletal	False	False	4380
CEP170	ENSG00000143702	Q5SW79	cytoskeletal	False	False	4752
CEP170B	ENSG00000099814	Q9Y4F5	cytoskeletal	False	False	4767
CEP19	ENSG00000174007	Q96LK0	cytoskeletal	False	False	489
CEP192	ENSG00000101639	Q8TEP8	cytoskeletal	False	False	7611
CEP20	ENSG00000133393	Q96NB1	cytoskeletal	False	False	522
CEP250	ENSG00000126001	Q9BV73	cytoskeletal	False	False	7326
CEP290	ENSG00000198707	O15078	transport_protein	False	False	7437
CEP295	ENSG00000166004	Q9C0D2	cytoskeletal	False	False	7803
CEP295NL	ENSG00000178404	Q96MC4	unknown	False	False	1863
CEP350	ENSG00000135837	Q5VT06	cytoskeletal	False	False	9351
CEP41	ENSG00000106477	Q9BYV8	transport_protein	False	False	1119
CEP43	ENSG00000213066	O95684	cytoskeletal	False	False	1197
CEP44	ENSG00000164118	Q9C0F1	cytoskeletal	False	False	1170
CEP55	ENSG00000138180	Q53EZ4	cytoskeletal	False	False	1392
CEP57	ENSG00000166037	Q86XR8	cytoskeletal	False	False	1500
CEP57L1	ENSG00000183137	Q8IYX8	cytoskeletal	False	False	1380
CEP63	ENSG00000182923	Q96MT8	cytoskeletal	False	False	2109
CEP68	ENSG00000011523	Q76N32	cytoskeletal	False	False	2271
CEP70	ENSG00000114107	Q8NHQ1	cytoskeletal	False	False	1791
CEP72	ENSG00000112877	Q9P209	cytoskeletal	False	False	1941
CEP76	ENSG00000101624	Q8TAP6	cytoskeletal	False	False	1977
CEP78	ENSG00000148019	Q5JTW2	cytoskeletal	False	False	2067
CEP83	ENSG00000173588	Q9Y592	cytoskeletal	False	False	2103
CEP85	ENSG00000130695	Q6P2H3	cytoskeletal	False	False	2286
CEP85L	ENSG00000111860	Q5SZL2	cytoskeletal	False	False	2415
CEP89	ENSG00000121289	Q96ST8	cytoskeletal	False	False	2349
CEP95	ENSG00000258890	Q96GE4	cytoskeletal	False	False	2463
CEP97	ENSG00000182504	Q8IW35	cytoskeletal	False	False	2595
CEPT1	ENSG00000134255	Q9Y6K0	enzyme	False	False	1248
CER1	ENSG00000147869	O95813	secreted_cytokine	True	True	801
CERCAM	ENSG00000167123	Q5T4B2	unknown	False	True	1785
CERK	ENSG00000100422	Q8TCT0	kinase	False	False	1611
CERKL	ENSG00000188452	Q49MI3	unknown	False	False	1674
CERS1	ENSG00000223802	P27544	enzyme	False	False	1050
CERS2	ENSG00000143418	Q96G23	enzyme	False	False	1140
CERS3	ENSG00000154227	Q8IU89	enzyme	False	False	1149
CERS4	ENSG00000090661	Q9HA82	enzyme	False	False	1182
CERS5	ENSG00000139624	Q8N5B7	enzyme	False	False	1176
CERS6	ENSG00000172292	Q6ZMG9	enzyme	False	False	1152
CERT1	ENSG00000113163	Q9Y5P4	transport_protein	False	False	1872
CES1	ENSG00000198848	P23141	lipid_droplet	False	True	1701
CES2	ENSG00000172831	O00748	enzyme	False	True	1677
CES3	ENSG00000172828	Q6UWW8	enzyme	False	True	1713
CES4A	ENSG00000172824	Q5XG92	secreted_enzyme	True	True	1683
CES5A	ENSG00000159398	Q6NT32	secreted_enzyme	True	True	1725
CETN1	ENSG00000177143	Q12798	cytoskeletal	False	False	516
CETN2	ENSG00000147400	P41208	transport_protein	False	False	516
CETN3	ENSG00000153140	O15182	transport_protein	False	False	501
CETP	ENSG00000087237	P11597	secreted_transfer_protein	True	True	1479
CFAP100	ENSG00000163885	Q494V2	cytoskeletal	False	False	1833
CFAP107	ENSG00000157330	Q8N1D5	cytoskeletal	False	False	582
CFAP119	ENSG00000196118	A1A4V9	unknown	False	False	993
CFAP126	ENSG00000188931	Q5VTH2	cytoskeletal	False	False	531
CFAP141	ENSG00000163263	Q5VU69	cytoskeletal	False	False	303
CFAP144	ENSG00000186973	A6NL82	cytoskeletal	False	False	402
CFAP144P1	ENSG00000164556	Q6ZVS7	cytoskeletal	False	False	405
CFAP157	ENSG00000160401	Q5JU67	cytoskeletal	False	False	1560
CFAP161	ENSG00000156206	Q6P656	cytoskeletal	False	False	903
CFAP184	ENSG00000173013	Q2M329	cytoskeletal	False	False	1665
CFAP20	ENSG00000070761	Q9Y6A4	cytoskeletal	False	False	579
CFAP206	ENSG00000272514	Q8IYR0	cytoskeletal	False	False	1866
CFAP20DC	ENSG00000163689	Q6ZVT6	unknown	False	False	2067
CFAP210	ENSG00000154479	Q0VFZ6	cytoskeletal	False	False	1656
CFAP221	ENSG00000163075	Q4G0U5	cytoskeletal	False	False	2520
CFAP251	ENSG00000158023	Q8TBY9	cytoskeletal	False	False	3447
CFAP263	ENSG00000103021	Q9H0I3	cytoskeletal	False	False	1131
CFAP276	ENSG00000179902	Q5T5A4	cytoskeletal	False	False	507
CFAP298	ENSG00000159079	P57076	cytoskeletal	False	False	870
CFAP299	ENSG00000197826	Q6V702	unknown	False	False	699
CFAP300	ENSG00000137691	Q9BRQ4	cytoskeletal	False	False	801
CFAP337	ENSG00000174776	Q8IV35	unknown	False	False	3147
CFAP36	ENSG00000163001	Q96G28	unknown	False	False	1026
CFAP410	ENSG00000160226	O43822	cytoskeletal	False	False	768
CFAP418	ENSG00000156172	Q96NL8	unknown	False	False	621
CFAP43	ENSG00000197748	Q8NDM7	cytoskeletal	False	False	4995
CFAP44	ENSG00000206530	Q96MT7	cytoskeletal	False	False	5562
CFAP45	ENSG00000213085	Q9UL16	cytoskeletal	False	False	1653
CFAP46	ENSG00000171811	Q8IYW2	cytoskeletal	False	False	8145
CFAP47	ENSG00000165164	Q6ZTR5	cytoskeletal	False	False	9561
CFAP52	ENSG00000166596	Q8N1V2	cytoskeletal	False	False	1860
CFAP53	ENSG00000172361	Q96M91	cytoskeletal	False	False	1542
CFAP54	ENSG00000188596	Q96N23	cytoskeletal	False	False	9288
CFAP57	ENSG00000243710	Q96MR6	cytoskeletal	False	False	3750
CFAP58	ENSG00000120051	Q5T655	cytoskeletal	False	False	2616
CFAP61	ENSG00000089101	Q8NHU2	cytoskeletal	False	False	3711
CFAP65	ENSG00000181378	Q6ZU64	cytoskeletal	False	False	5775
CFAP68	ENSG00000137720	Q9H5F2	cytoskeletal	False	False	450
CFAP69	ENSG00000105792	A5D8W1	unknown	False	False	2823
CFAP70	ENSG00000156042	Q5T0N1	cytoskeletal	False	False	3363
CFAP73	ENSG00000186710	A6NFT4	cytoskeletal	False	False	924
CFAP74	ENSG00000142609	Q9C0B2	cytoskeletal	False	False	4752
CFAP77	ENSG00000188523	Q6ZQR2	cytoskeletal	False	False	960
CFAP90	ENSG00000215217	A4QMS7	cytoskeletal	False	False	441
CFAP91	ENSG00000183833	Q7Z4T9	cytoskeletal	False	False	2301
CFAP92	ENSG00000114656	Q9ULG3	unknown	False	False	1227
CFAP95	ENSG00000204711	Q5VTT2	cytoskeletal	False	False	687
CFAP96	ENSG00000205129	A7E2U8	cytoskeletal	False	False	927
CFAP97	ENSG00000164323	Q9P2B7	unknown	False	False	1596
CFAP97D1	ENSG00000231256	B2RV13	unknown	False	False	492
CFAP97D2	ENSG00000283361	A0A1B0GU71	unknown	False	False	294
CFAP99	ENSG00000206113	D6REC4	unknown	False	False	1938
CFB	ENSG00000241253	P00751	secreted_enzyme	True	True	2292
CFC1	ENSG00000136698	P0CG37	secreted_protein	True	True	669
CFC1B	ENSG00000152093	P0CG36	secreted_protein	True	True	669
CFD	ENSG00000197766	P00746	secreted_enzyme	True	True	759
CFDP1	ENSG00000153774	Q9UEE9	unknown	False	False	897
CFH	ENSG00000000971	P08603	secreted_protein	True	True	3693
CFHR1	ENSG00000244414	Q03591	secreted_protein	True	True	990
CFHR2	ENSG00000080910	P36980	secreted_protein	True	True	810
CFHR3	ENSG00000116785	Q02985	secreted_protein	True	True	990
CFHR4	ENSG00000134365	Q92496	secreted_protein	True	True	1734
CFHR5	ENSG00000134389	Q9BXR6	secreted_protein	True	True	1707
CFI	ENSG00000205403	P05156	secreted_enzyme	True	True	1749
CFL1	ENSG00000172757	P23528	cytoskeletal	False	False	498
CFL2	ENSG00000165410	Q9Y281	cytoskeletal	False	False	498
CFLAR	ENSG00000003402	O15519	unknown	False	False	1440
CFP	ENSG00000126759	P27918	secreted_protein	True	True	1407
CFTR	ENSG00000001626	P13569	ion_channel	False	False	4440
CGA	ENSG00000135346	P01215	secreted_hormone	True	True	348
CGAS	ENSG00000164430	Q8N884	transfer_protein	False	False	1566
CGB1	ENSG00000267631	A6NKQ9	secreted_hormone	True	True	561
CGB2	ENSG00000104818	Q6NT52	secreted_hormone	True	True	489
CGB3	ENSG00000189052	P0DN86	secreted_hormone	True	True	495
CGB7	ENSG00000196337	P0DN87	secreted_protein	True	True	495
CGGBP1	ENSG00000163320	Q9UFW8	transcription_factor	False	False	501
CGN	ENSG00000143375	Q9P2M7	unknown	False	False	3609
CGNL1	ENSG00000128849	Q0VF96	unknown	False	False	3906
CGREF1	ENSG00000138028	Q99674	secreted_protein	True	True	954
CGRRF1	ENSG00000100532	Q99675	unknown	False	False	996
CH25H	ENSG00000138135	O95992	enzyme	False	False	816
CHAC1	ENSG00000128965	Q9BUX1	enzyme	False	False	666
CHAC2	ENSG00000143942	Q8WUX2	enzyme	False	False	552
CHAD	ENSG00000136457	O15335	secreted_protein	True	True	1077
CHADL	ENSG00000100399	Q6NUI6	secreted_protein	True	True	2286
CHAF1A	ENSG00000167670	Q13111	regulator	False	False	2868
CHAF1B	ENSG00000159259	Q13112	regulator	False	False	1677
CHAMP1	ENSG00000198824	Q96JM3	cytoskeletal	False	False	2436
CHAT	ENSG00000070748	P28329	enzyme	False	False	2244
CHCHD1	ENSG00000172586	Q96BP2	unknown	False	False	354
CHCHD10	ENSG00000250479	Q8WYQ3	unknown	False	False	426
CHCHD2	ENSG00000106153	Q9Y6H1	unknown	False	False	453
CHCHD3	ENSG00000106554	Q9NX63	membrane_protein	False	False	681
CHCHD4	ENSG00000163528	Q8N4Q1	transport_protein	False	False	426
CHCHD5	ENSG00000125611	Q9BSY4	unknown	False	False	330
CHCHD6	ENSG00000159685	Q9BRQ6	membrane_protein	False	False	705
CHCHD7	ENSG00000170791	Q9BUK0	unknown	False	False	255
CHCT1	ENSG00000141371	Q86WR6	unknown	False	False	708
CHD1	ENSG00000153922	O14646	transcription_factor	False	False	5130
CHD1L	ENSG00000131778	Q86WJ1	enzyme	False	False	2691
CHD2	ENSG00000173575	O14647	transcription_factor	False	False	5484
CHD3	ENSG00000170004	Q12873	transcription_factor	False	False	6000
CHD4	ENSG00000111642	Q14839	transcription_factor	False	False	5736
CHD5	ENSG00000116254	Q8TDI0	transcription_factor	False	False	5862
CHD6	ENSG00000124177	Q8TD26	transcription_factor	False	False	8145
CHD7	ENSG00000171316	Q9P2D1	transcription_factor	False	False	8991
CHD8	ENSG00000100888	Q9HCK8	transcription_factor	False	False	7743
CHD9	ENSG00000177200	Q3L8U1	transcription_factor	False	False	8691
CHD9NB	ENSG00000277639	A0A1B0GV96	unknown	False	False	156
CHDH	ENSG00000016391	Q8NE62	enzyme	False	False	1782
CHEK1	ENSG00000149554	O14757	kinase	False	False	1428
CHEK2	ENSG00000183765	O96017	kinase	False	False	1629
CHERP	ENSG00000085872	Q8IWX8	unknown	False	False	2748
CHFR	ENSG00000072609	Q96EP1	enzyme	False	False	1992
CHGA	ENSG00000100604	P10645	secreted_precursor	True	True	1371
CHGB	ENSG00000089199	P05060	secreted_precursor	True	True	2031
CHI3L1	ENSG00000133048	P36222	secreted_peptide	True	True	1149
CHI3L2	ENSG00000064886	Q15782	secreted_enzyme	True	True	1170
CHIA	ENSG00000134216	Q9BZP6	secreted_enzyme	True	True	1428
CHIC1	ENSG00000204116	Q5VXU3	membrane_protein	False	False	672
CHIC2	ENSG00000109220	Q9UKJ5	membrane_protein	False	False	495
CHID1	ENSG00000177830	Q9BWS9	secreted_protein	True	True	1179
CHIT1	ENSG00000133063	Q13231	secreted_enzyme	True	True	1398
CHKA	ENSG00000110721	P35790	kinase	False	False	1371
CHKB	ENSG00000100288	Q9Y259	kinase	False	False	1185
CHL1	ENSG00000134121	O00533	secreted_protein	True	True	3624
CHLSN	ENSG00000146540	Q9BRJ6	secreted_protein	True	False	582
CHM	ENSG00000188419	P24386	unknown	False	False	1959
CHML	ENSG00000203668	P26374	unknown	False	False	1968
CHMP1A	ENSG00000131165	Q9HD42	transport_protein	False	False	588
CHMP1B	ENSG00000255112	Q7LBR1	transport_protein	False	False	597
CHMP2A	ENSG00000130724	O43633	transport_protein	False	False	666
CHMP2B	ENSG00000083937	Q9UQN3	transport_protein	False	False	639
CHMP3	ENSG00000115561	Q9Y3E7	transport_protein	False	False	666
CHMP4A	ENSG00000254505	Q9BY43	transport_protein	False	False	666
CHMP4B	ENSG00000101421	Q9H444	transport_protein	False	False	672
CHMP4BP1	ENSG00000258469	P59074	unknown	False	False	513
CHMP4C	ENSG00000164695	Q96CF2	transport_protein	False	False	699
CHMP5	ENSG00000086065	Q9NZZ3	transport_protein	False	False	657
CHMP6	ENSG00000176108	Q96FZ7	transport_protein	False	False	603
CHMP7	ENSG00000147457	Q8WUX9	transport_protein	False	False	1359
CHN1	ENSG00000128656	P15882	signaling_adapter	False	False	1377
CHN2	ENSG00000106069	P52757	signaling_adapter	False	False	1404
CHODL	ENSG00000154645	Q9H9P2	membrane_protein	False	True	819
CHORDC1	ENSG00000110172	Q9UHD1	unknown	False	False	996
CHP1	ENSG00000187446	Q99653	kinase	False	False	585
CHP2	ENSG00000166869	O43745	transport_protein	False	False	588
CHPF	ENSG00000123989	Q8IZ52	enzyme	False	False	2325
CHPF2	ENSG00000033100	Q9P2E5	enzyme	False	False	2316
CHPT1	ENSG00000111666	Q8WUD6	enzyme	False	False	1218
CHRAC1	ENSG00000104472	Q9NRG0	enzyme	False	False	393
CHRD	ENSG00000090539	Q9H2X0	secreted_protein	True	True	2865
CHRDL1	ENSG00000101938	Q9BU40	secreted_protein	True	True	1368
CHRDL2	ENSG00000054938	Q6WN34	secreted_protein	True	True	1287
CHRFAM7A	ENSG00000166664	Q494W8	membrane_protein	False	False	1236
CHRM1	ENSG00000168539	P11229	gpcr	False	False	1380
CHRM2	ENSG00000181072	P08172	gpcr	False	False	1398
CHRM3	ENSG00000133019	P20309	gpcr	False	False	1770
CHRM4	ENSG00000180720	P08173	gpcr	False	False	1437
CHRM5	ENSG00000184984	P08912	gpcr	False	False	1596
CHRNA1	ENSG00000138435	P02708	ion_channel	False	True	1371
CHRNA10	ENSG00000129749	Q9GZZ6	ion_channel	False	True	1350
CHRNA2	ENSG00000120903	Q15822	ion_channel	False	True	1587
CHRNA3	ENSG00000080644	P32297	ion_channel	False	True	1515
CHRNA4	ENSG00000101204	P43681	ion_channel	False	True	1881
CHRNA5	ENSG00000169684	P30532	ion_channel	False	True	1404
CHRNA6	ENSG00000147434	Q15825	ion_channel	False	True	1482
CHRNA7	ENSG00000175344	P36544	ion_channel	False	True	1506
CHRNA9	ENSG00000174343	Q9UGM1	ion_channel	False	True	1437
CHRNB1	ENSG00000170175	P11230	ion_channel	False	True	1503
CHRNB2	ENSG00000160716	P17787	ion_channel	False	True	1506
CHRNB3	ENSG00000147432	Q05901	ion_channel	False	True	1374
CHRNB4	ENSG00000117971	P30926	ion_channel	False	True	1494
CHRND	ENSG00000135902	Q07001	ion_channel	False	True	1551
CHRNE	ENSG00000108556	Q04844	ion_channel	False	True	1479
CHRNG	ENSG00000196811	P07510	ion_channel	False	True	1551
CHST1	ENSG00000175264	O43916	enzyme	False	False	1233
CHST10	ENSG00000115526	O43529	enzyme	False	False	1068
CHST11	ENSG00000171310	Q9NPF2	enzyme	False	False	1056
CHST12	ENSG00000136213	Q9NRB3	enzyme	False	False	1242
CHST13	ENSG00000180767	Q8NET6	enzyme	False	False	1023
CHST14	ENSG00000169105	Q8NCH0	enzyme	False	False	1128
CHST15	ENSG00000182022	Q7LFX5	enzyme	False	False	1683
CHST2	ENSG00000175040	Q9Y4C5	enzyme	False	False	1590
CHST3	ENSG00000122863	Q7LGC8	enzyme	False	False	1437
CHST4	ENSG00000140835	Q8NCG5	enzyme	False	False	1158
CHST5	ENSG00000135702	Q9GZS9	enzyme	False	False	1233
CHST6	ENSG00000183196	Q9GZX3	enzyme	False	False	1185
CHST7	ENSG00000147119	Q9NS84	enzyme	False	False	1458
CHST8	ENSG00000124302	Q9H2A9	enzyme	False	False	1272
CHST9	ENSG00000154080	Q7L1S5	secreted_enzyme	True	False	1329
CHSY1	ENSG00000131873	Q86X52	secreted_enzyme	True	False	2406
CHSY3	ENSG00000198108	Q70JA7	enzyme	False	False	2646
CHTF18	ENSG00000127586	Q8WVB6	unknown	False	False	2925
CHTF8	ENSG00000168802	P0CG13	unknown	False	False	363
CHTOP	ENSG00000160679	Q9Y3Y2	transport_protein	False	False	744
CHUK	ENSG00000213341	O15111	kinase	False	False	2235
CHURC1	ENSG00000258289	Q8WUH1	unknown	False	False	336
CIAO1	ENSG00000144021	O76071	unknown	False	False	1017
CIAO2A	ENSG00000166797	Q9H5X1	unknown	False	False	480
CIAO2B	ENSG00000166595	Q9Y3D0	cytoskeletal	False	False	489
CIAO3	ENSG00000103245	Q9H6Q4	unknown	False	False	1428
CIAPIN1	ENSG00000005194	Q6FI81	unknown	False	False	936
CIART	ENSG00000159208	Q8N365	unknown	False	False	1155
CIB1	ENSG00000185043	Q99828	cytoskeletal	False	False	573
CIB2	ENSG00000136425	O75838	membrane_protein	False	False	561
CIB3	ENSG00000141977	Q96Q77	unknown	False	False	561
CIB4	ENSG00000157884	A0PJX0	unknown	False	False	555
CIBAR1	ENSG00000188343	A1XBS5	cytoskeletal	False	False	867
CIC	ENSG00000079432	Q96RK0	transcription_factor	False	False	7551
CIDEA	ENSG00000176194	O60543	lipid_droplet	False	False	657
CIDEB	ENSG00000136305	Q9UHD4	lipid_droplet	False	False	657
CIDEC	ENSG00000187288	Q96AQ7	transport_protein	False	False	714
CIITA	ENSG00000179583	P33076	kinase	False	False	3390
CILK1	ENSG00000112144	Q9UPZ9	kinase	False	False	1896
CILP	ENSG00000138615	O75339	secreted_precursor	True	True	3552
CILP2	ENSG00000160161	Q8IUL8	secreted_precursor	True	True	3468
CIMAP1A	ENSG00000177947	Q96PU9	cytoskeletal	False	False	762
CIMAP1B	ENSG00000177989	A8MYP8	unknown	False	False	759
CIMAP1C	ENSG00000182950	Q8IXM7	unknown	False	False	822
CIMAP1D	ENSG00000181781	Q3SX64	unknown	False	False	867
CIMAP2	ENSG00000162398	Q3ZCV2	unknown	False	False	1254
CIMAP3	ENSG00000173947	Q8TCI5	unknown	False	False	573
CIMIP1	ENSG00000124237	Q9H1P6	unknown	False	False	411
CIMIP2A	ENSG00000188163	Q6J272	cytoskeletal	False	False	951
CIMIP2B	ENSG00000215187	A8MTA8	cytoskeletal	False	False	825
CIMIP2C	ENSG00000173557	A6NJV1	cytoskeletal	False	False	603
CIMIP3	ENSG00000287363	X6R8D5	cytoskeletal	False	False	336
CIMIP4	ENSG00000185264	O43247	unknown	False	False	840
CIMIP5	ENSG00000150873	Q96LR7	unknown	False	False	486
CIMIP6	ENSG00000177994	Q8N5S3	unknown	False	False	861
CIMIP7	ENSG00000236980	H3BNL1	unknown	False	False	612
CINP	ENSG00000100865	Q9BW66	unknown	False	False	636
CIP2A	ENSG00000163507	Q8TCG1	unknown	False	False	2715
CIPC	ENSG00000198894	Q9C0C6	unknown	False	False	1197
CIRBP	ENSG00000099622	Q14011	rna_binding	False	False	516
CIROP	ENSG00000283654	A0A1B0GTW7	enzyme	False	True	2364
CIROZ	ENSG00000175262	Q8N9H9	secreted_protein	True	True	2469
CIRSR	ENSG00000138433	Q86X95	cytoskeletal	False	False	1350
CISD1	ENSG00000122873	Q9NZ45	enzyme	False	False	324
CISD2	ENSG00000145354	Q8N5K1	membrane_protein	False	False	405
CISD3	ENSG00000277972	P0C7P0	unknown	False	False	381
CISH	ENSG00000114737	Q9NSE2	signaling_adapter	False	False	774
CIST1	ENSG00000284797	A0A2R8Y7Y5	membrane_protein	False	True	702
CIT	ENSG00000122966	O14578	kinase	False	False	6081
CITED1	ENSG00000125931	Q99966	unknown	False	False	579
CITED2	ENSG00000164442	Q99967	unknown	False	False	810
CITED4	ENSG00000179862	Q96RK1	unknown	False	False	552
CIZ1	ENSG00000148337	Q9ULV3	unknown	False	False	2694
CKAP2	ENSG00000136108	Q8WWK9	cytoskeletal	False	False	2049
CKAP2L	ENSG00000169607	Q8IYA6	cytoskeletal	False	False	2235
CKAP4	ENSG00000136026	Q07065	cytoskeletal	False	False	1806
CKAP5	ENSG00000175216	Q14008	cytoskeletal	False	False	6096
CKB	ENSG00000166165	P12277	kinase	False	False	1143
CKLF	ENSG00000217555	Q9UBR5	secreted_cytokine	True	False	456
CKM	ENSG00000104879	P06732	kinase	False	False	1143
CKMT1A	ENSG00000237289	P12532	kinase	False	False	1251
CKMT2	ENSG00000131730	P17540	kinase	False	False	1257
CKS1B	ENSG00000173207	P61024	unknown	False	False	237
CKS2	ENSG00000123975	P33552	unknown	False	False	237
CLASP1	ENSG00000074054	Q7Z460	cytoskeletal	False	False	4614
CLASP2	ENSG00000163539	O75122	cytoskeletal	False	False	3882
CLASRP	ENSG00000104859	Q8N2M8	unknown	False	False	2022
CLBA1	ENSG00000140104	Q96F83	unknown	False	False	975
CLC	ENSG00000105205	Q05315	secreted_protein	True	False	426
CLCA1	ENSG00000016490	A8K7I4	secreted_enzyme	True	True	2742
CLCA2	ENSG00000137975	Q9UQC9	secreted_enzyme	True	True	2829
CLCA4	ENSG00000016602	Q14CN2	secreted_enzyme	True	True	2757
CLCC1	ENSG00000121940	Q96S66	ion_channel	False	True	1653
CLCF1	ENSG00000175505	Q9UBD9	secreted_cytokine	True	True	675
CLCN1	ENSG00000188037	P35523	ion_channel	False	False	2964
CLCN2	ENSG00000114859	P51788	ion_channel	False	False	2694
CLCN3	ENSG00000109572	P51790	transporter	False	False	2454
CLCN4	ENSG00000073464	P51793	transporter	False	False	2280
CLCN5	ENSG00000171365	P51795	transporter	False	False	2448
CLCN6	ENSG00000011021	P51797	transporter	False	False	2607
CLCN7	ENSG00000103249	P51798	transporter	False	False	2415
CLCNKA	ENSG00000186510	P51800	ion_channel	False	False	2061
CLCNKB	ENSG00000184908	P51801	ion_channel	False	False	2061
CLDN1	ENSG00000163347	O95832	receptor	False	False	633
CLDN10	ENSG00000134873	P78369	transporter	False	False	684
CLDN11	ENSG00000013297	O75508	membrane_protein	False	False	621
CLDN12	ENSG00000157224	P56749	membrane_protein	False	False	732
CLDN14	ENSG00000159261	O95500	membrane_protein	False	False	717
CLDN15	ENSG00000106404	P56746	transporter	False	False	684
CLDN16	ENSG00000113946	Q9Y5I7	transporter	False	False	705
CLDN17	ENSG00000156282	P56750	ion_channel	False	False	672
CLDN18	ENSG00000066405	P56856	membrane_protein	False	False	783
CLDN19	ENSG00000164007	Q8N6F1	membrane_protein	False	False	672
CLDN2	ENSG00000165376	P57739	membrane_protein	False	False	690
CLDN20	ENSG00000171217	P56880	membrane_protein	False	False	657
CLDN22	ENSG00000177300	Q8N7P3	membrane_protein	False	False	660
CLDN23	ENSG00000253958	Q96B33	membrane_protein	False	False	876
CLDN24	ENSG00000185758	A6NM45	membrane_protein	False	False	660
CLDN25	ENSG00000228607	C9JDP6	membrane_protein	False	False	687
CLDN3	ENSG00000165215	O15551	membrane_protein	False	False	660
CLDN34	ENSG00000234469	H7C241	membrane_protein	False	False	642
CLDN4	ENSG00000189143	O14493	ion_channel	False	False	627
CLDN5	ENSG00000184113	O00501	membrane_protein	False	False	654
CLDN6	ENSG00000184697	P56747	receptor	False	False	660
CLDN7	ENSG00000181885	O95471	membrane_protein	False	False	633
CLDN8	ENSG00000156284	P56748	membrane_protein	False	False	675
CLDN9	ENSG00000213937	O95484	receptor	False	False	651
CLDND1	ENSG00000080822	Q9NY35	membrane_protein	False	False	759
CLDND2	ENSG00000160318	Q8NHS1	membrane_protein	False	False	501
CLEC10A	ENSG00000132514	Q8IUN9	membrane_protein	False	False	948
CLEC11A	ENSG00000105472	Q9Y240	secreted_growth_factor	True	True	969
CLEC12A	ENSG00000172322	Q5QGZ9	receptor	False	False	795
CLEC12B	ENSG00000256660	Q2HXU8	receptor	False	False	828
CLEC14A	ENSG00000176435	Q86T13	membrane_protein	False	True	1470
CLEC16A	ENSG00000038532	Q2KHT3	membrane_protein	False	False	3159
CLEC17A	ENSG00000187912	Q6ZS10	receptor	False	False	1134
CLEC18A	ENSG00000157322	A5D8T8	secreted_protein	True	True	1338
CLEC18B	ENSG00000140839	Q6UXF7	secreted_protein	True	True	1365
CLEC18C	ENSG00000157335	Q8NCF0	secreted_protein	True	True	1338
CLEC19A	ENSG00000261210	Q6UXS0	secreted_protein	True	True	558
CLEC1A	ENSG00000150048	Q8NC01	membrane_protein	False	False	840
CLEC1B	ENSG00000165682	Q9P126	receptor	False	False	687
CLEC20A	ENSG00000188585	Q6ZU45	unknown	False	True	1200
CLEC2A	ENSG00000188393	Q6UVW9	receptor	False	False	522
CLEC2B	ENSG00000110852	Q92478	membrane_protein	False	False	447
CLEC2D	ENSG00000069493	Q9UHP7	receptor	False	False	573
CLEC2L	ENSG00000236279	P0C7M8	membrane_protein	False	False	642
CLEC3A	ENSG00000166509	O75596	secreted_protein	True	True	591
CLEC3B	ENSG00000163815	P05452	secreted_protein	True	True	606
CLEC4A	ENSG00000111729	Q9UMR7	membrane_protein	False	False	711
CLEC4C	ENSG00000198178	Q8WTT0	membrane_protein	False	False	639
CLEC4D	ENSG00000166527	Q8WXI8	membrane_protein	False	False	645
CLEC4E	ENSG00000166523	Q9ULY5	membrane_protein	False	False	657
CLEC4F	ENSG00000152672	Q8N1N0	receptor	False	False	1767
CLEC4G	ENSG00000182566	Q6UXB4	receptor	False	False	879
CLEC4M	ENSG00000104938	Q9H2X3	secreted_protein	True	False	1197
CLEC5A	ENSG00000258227	Q9NY25	receptor	False	False	564
CLEC6A	ENSG00000205846	Q6EIG7	membrane_protein	False	False	627
CLEC7A	ENSG00000172243	Q9BXN2	receptor	False	False	741
CLEC9A	ENSG00000197992	Q6UXN8	receptor	False	False	723
CLGN	ENSG00000153132	O14967	membrane_protein	False	True	1830
CLHC1	ENSG00000162994	Q8NHS4	unknown	False	False	1758
CLIC1	ENSG00000213719	O00299	ion_channel	False	False	723
CLIC2	ENSG00000155962	O15247	ion_channel	False	False	741
CLIC3	ENSG00000169583	O95833	secreted_enzyme	True	False	708
CLIC4	ENSG00000169504	Q9Y696	ion_channel	False	False	759
CLIC5	ENSG00000112782	Q9NZA1	ion_channel	False	False	1230
CLIC6	ENSG00000159212	Q96NY7	ion_channel	False	False	2112
CLINT1	ENSG00000113282	Q14677	transfer_protein	False	False	1875
CLIP1	ENSG00000130779	P30622	transport_protein	False	False	4314
